"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1364","3/30/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1364_ANHU"
"1365","4/1/1998","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1365_ANHU"
"1366","4/1/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","1366_ANHU"
"1367","4/3/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","found inside","Non-selasphorus spp.","1367_ANHU"
"1368","4/3/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1368_ANHU"
"1369","4/4/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1369_ANHU"
"1370","4/7/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1370_ANHU"
"1371","4/7/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1371_ANHU"
"1372","4/8/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1372_ANHU"
"1373","4/9/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",9,"Spring","found on the ground","Non-selasphorus spp.","1373_ANHU"
"1374","4/10/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1374_ANHU"
"1375","4/11/1998","Died","Lindsey","Yes","Selasphorus","Female-like","adult-like",1,"Spring","window hit","Selasphorus spp.","1375_RUHU"
"1376","4/12/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1376_ANHU"
"1377","4/12/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1377_ANHU"
